iter	RMSE
0	0.2667055156
1	0.2635843499
2	0.2607240991
3	0.2580437355
4	0.2555672085
5	0.2536258303
6	0.2514935436
7	0.2499446144
8	0.2479547392
9	0.2466071086
10	0.2448725144
11	0.2434380386
12	0.2420684232
13	0.2409991444
14	0.239998616
15	0.2388766961
16	0.238069109
17	0.2369684293
18	0.2362494654
19	0.2353502931
20	0.2343108391
21	0.2333898826
22	0.2325785047
23	0.2317382731
24	0.2309519106
25	0.230357979
26	0.2295207004
27	0.2288750775
28	0.2282906675
29	0.2278179073
30	0.2270851889
31	0.2264876586
32	0.2257807259
33	0.2252076958
34	0.2245974205
35	0.2241697841
36	0.2237733676
37	0.2233983074
38	0.2227801799
39	0.2220623088
40	0.2215078478
41	0.2211354507
42	0.2207785321
43	0.2203035365
44	0.2197705843
45	0.219368264
46	0.2191087769
47	0.2187592189
48	0.2182071049
49	0.2176991013
50	0.2174151208
51	0.2169889341
52	0.2164813927
53	0.2159690149
54	0.2156721925
55	0.2154505285
56	0.214954933
57	0.2147032054
58	0.2143966996
59	0.2140695197
60	0.2137131283
61	0.2133939159
62	0.2131593744
63	0.2126172102
64	0.2122850967
65	0.211980914
66	0.2117597149
67	0.2113855377
68	0.2110291793
69	0.2107453215
70	0.2105482403
71	0.2103178634
72	0.2099483213
73	0.2096609166
74	0.2094177925
75	0.209172531
76	0.2089347411
77	0.2087648428
78	0.2086502714
79	0.2083632511
80	0.2080964852
81	0.2079378585
82	0.2077322571
83	0.2074261785
84	0.207195413
85	0.2068988507
86	0.2065269522
87	0.2062659313
88	0.2059936097
89	0.2057609021
90	0.2055245082
91	0.2052584117
92	0.2050505913
93	0.2046808485
94	0.2045159731
95	0.2043159995
96	0.204026567
97	0.2037900584
98	0.2035956255
99	0.2033878634
100	0.2031070865
101	0.202939246
102	0.202677503
103	0.2024357276
104	0.2021694525
105	0.2019192768
106	0.2016776532
107	0.2014517391
108	0.201280108
109	0.2010209838
110	0.2009004332
111	0.2007388039
112	0.2006367105
113	0.2003473432
114	0.2001577373
115	0.1999785669
116	0.1997453485
117	0.1994279884
118	0.1992151668
119	0.1989365463
120	0.1987835704
121	0.1986874388
122	0.1985212128
123	0.1982822401
124	0.1980982486
125	0.1978950753
126	0.1976634697
127	0.1975016704
128	0.19732968
129	0.1971877551
130	0.1969658825
131	0.1967771191
132	0.1966356542
133	0.1964438073
134	0.196330299
135	0.1961899224
136	0.1960279421
137	0.1959247388
138	0.1958066699
139	0.1956243078
140	0.1954725037
141	0.1952551797
142	0.1949975786
143	0.1947610848
144	0.1944116367
145	0.1942407485
146	0.194048367
147	0.1939210551
148	0.1937621502
149	0.1936394181
150	0.1933936448
151	0.1932180361
152	0.1930985094
153	0.192968001
154	0.1927946537
155	0.1926450641
156	0.1924841562
157	0.1922893787
158	0.1921138992
159	0.1919828151
160	0.1918087064
161	0.1916365866
162	0.1914397362
163	0.1913218271
164	0.1911886549
165	0.1910717749
166	0.1909232477
167	0.1906736365
168	0.1905622613
169	0.1904499637
170	0.1902611333
171	0.1900927448
172	0.1899027944
173	0.1896472316
174	0.1894966074
175	0.1893076928
